Order No,Part No,Part Description,Supplier Name,Promised Delivery Date,Actual Delivery Date,Delay (Days),Is Overdue
15233000,8132293,"Fargo DTC1250e Single sided direct to card printer, USB, Dye Sublimation, 300DPI. 6 seconds per card (K); 8 seconds per card (KO); 16 seconds per card (YMCKO); 24 seconds per card (YMCKOK)",Supplier_9F4866,2025-04-25,2025-04-24,-1,False
15231612,8062161,"Ball Valve 1 Inch PN30, Full Bore, Male x Female, Brass",Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15231612,8131607,TEE G 3X1X3,Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15231612,8131608,"3"" STORZ OUTSIDE BSP W/ 89MM FRONT",Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15231612,8131609,"3"" WHITE FIRE HOSE WITH COUPLINGS",Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15231612,8131610,"3"" STORZ HOSETAIL W/ 89MM FRONT",Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15229526,8010868,Consulting Services - Mar. 2025,Supplier_A74BCA,2025-03-31,2025-03-18,-13,False
15234394,8113082,1KW AC Config 5 Power Supply,Supplier_AA79E5,2025-04-24,2025-04-24,0,False
15231612,8131611,HOSE CLAMP GALV 87-112,Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15231612,8131612,BØJN 90° G LANG M/N 3,Supplier_16ABF0,2025-03-06,2025-03-03,-3,False
15235647,8112123,REDUCER VICTAULIC CONC GALV 3X2,Supplier_16ABF0,2025-05-22,2025-05-22,0,False
15235647,8112124,BUTTERFLY VALVE VICT FIRELOCK V705 2 (EAN: 5414785219604),Supplier_16ABF0,2025-05-22,2025-05-22,0,False
15235647,8112125,BUTTERFLY VALVE VICT FIRELOCK V705 3 (EAN: 5414785219635),Supplier_16ABF0,2025-05-22,2025-05-22,0,False
15235647,8112126,COUPLING VICTAULIC FIRELOCK 009N GALV 2 (EAN: 5414785275273),Supplier_16ABF0,2025-05-22,2025-05-22,0,False
15235647,8112127,COUPLING VICTAULIC FIRELOCK 009N GALV 3 (EAN: 5414785275365),Supplier_16ABF0,2025-05-22,2025-05-22,0,False
15235359,8023257,"WAGO, Terminal 2L, 6mm2, TYPE: 2006-1201",Supplier_7E77DD,2025-05-21,2025-05-22,1,True
15235359,8028135,"WAGO, 2L End & Intermediate Plate 1mm Thick Orange (25 Pcs/Pkg) TYPE: 2006-1292",Supplier_7E77DD,2025-05-21,2025-05-22,1,True
15232399,8027703,Procom Antenna GPS 4/5 1575 MHz,Supplier_6F8465,2025-03-31,2025-03-13,-18,False
15232399,8064776,"Antenna Bracket LW 1 Inch, LW-SS-1""",Supplier_6F8465,2025-03-31,2025-03-13,-18,False
15232399,8092233,TNC Male Clamp CFD400 Jyebao Crimp Less Centre Pin,Supplier_6F8465,2025-03-31,2025-03-13,-18,False
15233892,8130185,"19 inch ODF 48/24 G652D LC/UPC fully mounted
with 24 adapters, 48 colored pigtails.
and 2 splice trays,
Pigtails not placed in splice cassettes..""",Supplier_80F031,2025-04-11,2025-04-11,0,False
15231749,8001328,"Component shelf 2 U, static installation",Supplier_894681,2025-02-27,2025-02-20,-7,False
15231749,8110913,"Component shelf, pull-out, 2 U for one 482.6 mm (19"") mounting level",Supplier_894681,2025-03-07,2025-02-20,-15,False
15234622,8096801,"MEAN WELL Din Rail Redundant Module Power Supply
O/P: 24VDC, 0~20A",Supplier_5680DD,2025-04-28,2025-04-29,1,True
15234622,8121445,"MEAN WELL DDR, Vout: 12V dc 480W DC-DC converter",Supplier_5680DD,2025-04-28,2025-04-29,1,True
15233987,8118028,"Ericsson Downtilt Kit, L/M",Supplier_96E3C4,2025-05-07,2025-04-24,-13,False
15232876,8115435,Uninsulated Terminal Lugs - Earth   16mm x M4,Supplier_16ABF0,2025-04-23,2025-04-23,0,False
15231642,8131619,FR84B-23024 TRAFO 130VA 230V,Supplier_A5AB94,2025-03-04,2025-03-03,-1,False
15231680,8039836,Socket relay for 2 and 4 CO Industrial rellays,Supplier_7E77DD,2025-02-21,2025-02-24,3,True
15231680,8039841,Retaining clip for relay,Supplier_7E77DD,2025-02-21,2025-02-24,3,True
15231680,8039844,Push-in type jumper bar for the coil side,Supplier_7E77DD,2025-02-21,2025-02-24,3,True
15231680,8097937,"WAGO, Circuit Breaker, 1-Channel, 24VDC Input, 0,5A, Communication Capability",Supplier_7E77DD,2025-02-21,2025-02-24,3,True
15231898,8039836,Socket relay for 2 and 4 CO Industrial rellays,Supplier_7E77DD,2025-02-28,2025-02-28,0,False
15231898,8039841,Retaining clip for relay,Supplier_7E77DD,2025-02-28,2025-02-28,0,False
15231892,8120358,PowerEdge R360 Server,Supplier_AA79E5,2025-03-07,2025-03-10,3,True
15233823,8132689,OptiPlex Micro Form Factor 7020 XCTO (210-BKXM),Supplier_AA79E5,2025-04-24,2025-04-25,1,True
15233889,8112778,"CRIMP DIE F/PVL350 MB9, KRF/KSF 16MM²",Supplier_16ABF0,2025-04-24,2025-04-24,0,False
15235523,8120913,Dell 24 Monitor - P2425H,Supplier_AA79E5,2025-05-26,2025-05-26,0,False
15235523,8132665,Dell OptiPlex Plus SFF (SKU: 10378792),Supplier_AA79E5,2025-05-26,2025-05-26,0,False
15234629,8001413,Rittal  Energy Box for Mounting of 11 pcs. 36mm Modules 19 Inch Mounting,Supplier_894681,2025-04-30,2025-04-30,0,False
15234629,8067983,RITTAL Blanking Panel 19 inch 1U (2 pcs/pkg),Supplier_894681,2025-04-30,2025-04-30,0,False
15234629,8083083,"Rittal Blanking Panel DK, 19 Inch 482.6mm 3U 2 PCS/PKG",Supplier_894681,2025-04-30,2025-04-30,0,False
15232485,8131885,AUTOMATSIK C60H-DC 3A C 500VDC UL1077,Supplier_16ABF0,2025-03-24,2025-03-21,-3,False
15234477,8020612,"Testing, Configuration & Logistics",Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8023359,"Transceiver, Maritime Multimode, TR-7750C",Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8097382,Transceiver TR-7750 VHF/AM Digital Multimode w/VoIP,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8097382,Transceiver TR-7750 VHF/AM Digital Multimode w/VoIP,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15231752,8069186,"Power Socket, Single, 16A, IP20, IP30, Without Breaker",Supplier_5680DD,2025-02-25,2025-02-20,-5,False
15232938,8108213,"Pilot FriXion Clicker Roller Pen, M, Blue",Supplier_3A7FA6,2025-03-19,2025-03-20,1,True
15232938,8132258,Pilot FriXion Refill M Black 6 pcs,Supplier_3A7FA6,2025-03-19,2025-03-20,1,True
15232938,8132259,Pilot FriXion Clicker Roller Pen  M  Red,Supplier_3A7FA6,2025-03-19,2025-03-20,1,True
15232938,8132260,Pilot FriXion Refill  M Red 3 pcs,Supplier_3A7FA6,2025-03-19,2025-03-20,1,True
15232938,8132261,Pilot FriXion Refill M Blue 6 pcs,Supplier_3A7FA6,2025-03-19,2025-03-20,1,True
15234477,8097719,"PEIKER Handheld Microphone TM110TF, with RJ45 Connector and Bracket",Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8097719,"PEIKER Handheld Microphone TM110TF, with RJ45 Connector and Bracket",Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8097719,"PEIKER Handheld Microphone TM110TF, with RJ45 Connector and Bracket",Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8097719,"PEIKER Handheld Microphone TM110TF, with RJ45 Connector and Bracket",Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8101411,Jotron VHF JRRC-108 dispatcher,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8108711,DSC system,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8132753,TR-7750C Maritime Multimode Transceiver Dual LAN,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8132753,TR-7750C Maritime Multimode Transceiver Dual LAN,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15234477,8132938,Pei Tel TM110 w/Lemo 2B male connector,Supplier_CD6B40,2025-05-30,2025-05-28,-2,False
15233319,8021912,"Nut M32 Polyamide Fiberglass Reinforced, Grey",Supplier_16ABF0,2025-03-27,2025-03-27,0,False
15232516,8131239,Batteri 12 V 100 Ah MARATHON PowerCycle,Supplier_2064BB,2025-03-26,2025-03-27,1,True
15235581,8098360,Freight PO for PO: 15235414,Supplier_BD1D3D,2025-05-30,2025-05-29,-1,False
15233379,8123606,"Helkama Marine Power Cable 4x2,5 Sqmm black LKSM-HF 0,6/1kV Armoured",Supplier_16ABF0,2025-03-28,2025-03-28,0,False
15234296,8131869,Eltek Mounting Bracket 1U for FP-2,Supplier_2064BB,2025-05-13,2025-05-12,-1,False
15233899,8130183,Axis A1210 controller powered by Genetec - barebone - Supports up to 2 OSDP readers - Softwire ACAP included and 1 Reader license included,Supplier_B7AF17,2025-04-08,2025-05-06,28,True
15234632,8094663,NTI Audio MR Pro Minirator,Supplier_230D9A,2025-05-30,2025-05-28,-2,False
15232525,8108497,"Universal QuickPort DIN Rail Module, Gray",Supplier_16ABF0,2025-03-13,2025-03-11,-2,False
